TIME;GEO;CITIZEN;AGE;SEX;UNIT;Value;Flag and Footnotes
2006;Former Yugoslav Republic of Macedonia. the;Syria;Total;Females;Number;;
2006;Albania;Foreign country;Total;Total;Number;;
2006;Albania;Foreign country;Total;Males;Number;;
2006;Albania;Foreign country;Total;Females;Number;;
2006;Albania;Non-EU-28 countries nor reporting country;Total;Total;Number;;
2006;Albania;Non-EU-28 countries nor reporting country;Total;Males;Number;;
2006;Albania;Non-EU-28 countries nor reporting country;Total;Females;Number;;
2006;Albania;Syria;Total;Total;Number;;
2006;Albania;Syria;Total;Males;Number;;
2006;Albania;Syria;Total;Females;Number;;
2006;Turkey;Foreign country;Total;Total;Number;292;
2006;Turkey;Foreign country;Total;Males;Number;;
2006;Turkey;Foreign country;Total;Females;Number;;
2006;Turkey;Non-EU-28 countries nor reporting country;Total;Total;Number;;
2006;Turkey;Non-EU-28 countries nor reporting country;Total;Males;Number;;
2006;Turkey;Non-EU-28 countries nor reporting country;Total;Females;Number;;
2006;Turkey;Syria;Total;Total;Number;;
2006;Turkey;Syria;Total;Males;Number;;
2006;Turkey;Syria;Total;Females;Number;;
2006;Andorra;Foreign country;Total;Total;Number;50,298;
2006;Andorra;Foreign country;Total;Males;Number;26,466;
2006;Andorra;Foreign country;Total;Females;Number;23,832;
2006;Andorra;Non-EU-28 countries nor reporting country;Total;Total;Number;;
2006;Andorra;Non-EU-28 countries nor reporting country;Total;Males;Number;;
2006;Andorra;Non-EU-28 countries nor reporting country;Total;Females;Number;;
2006;Andorra;Syria;Total;Total;Number;;
2006;Andorra;Syria;Total;Males;Number;;
2006;Andorra;Syria;Total;Females;Number;;
2006;Moldova;Foreign country;Total;Total;Number;;
2006;Moldova;Foreign country;Total;Males;Number;;
2006;Moldova;Foreign country;Total;Females;Number;;
2006;Moldova;Non-EU-28 countries nor reporting country;Total;Total;Number;;
2006;Moldova;Non-EU-28 countries nor reporting country;Total;Males;Number;;
2006;Moldova;Non-EU-28 countries nor reporting country;Total;Females;Number;;
2006;Moldova;Syria;Total;Total;Number;;
2006;Moldova;Syria;Total;Males;Number;;
2006;Moldova;Syria;Total;Females;Number;;
2006;Ukraine;Foreign country;Total;Total;Number;;
2006;Ukraine;Foreign country;Total;Males;Number;;
2006;Ukraine;Foreign country;Total;Females;Number;;
2006;Ukraine;Non-EU-28 countries nor reporting country;Total;Total;Number;;
2006;Ukraine;Non-EU-28 countries nor reporting country;Total;Males;Number;;
2006;Ukraine;Non-EU-28 countries nor reporting country;Total;Females;Number;;
2006;Ukraine;Syria;Total;Total;Number;;
2006;Ukraine;Syria;Total;Males;Number;;
2006;Ukraine;Syria;Total;Females;Number;;
2007;Belgium;Foreign country;Total;Total;Number;932,161;
2007;Belgium;Foreign country;Total;Males;Number;474,435;
2007;Belgium;Foreign country;Total;Females;Number;457,726;
2007;Belgium;Non-EU-28 countries nor reporting country;Total;Total;Number;;
2007;Belgium;Non-EU-28 countries nor reporting country;Total;Males;Number;;
2007;Belgium;Non-EU-28 countries nor reporting country;Total;Females;Number;;
2007;Belgium;Syria;Total;Total;Number;;
2007;Belgium;Syria;Total;Males;Number;;
2007;Belgium;Syria;Total;Females;Number;;
2007;Bulgaria;Foreign country;Total;Total;Number;25.5;e
2007;Bulgaria;Foreign country;Total;Males;Number;;
2007;Bulgaria;Foreign country;Total;Females;Number;;
2007;Bulgaria;Non-EU-28 countries nor reporting country;Total;Total;Number;;
2007;Bulgaria;Non-EU-28 countries nor reporting country;Total;Males;Number;;
2007;Bulgaria;Non-EU-28 countries nor reporting country;Total;Females;Number;;
2007;Bulgaria;Syria;Total;Total;Number;;
2007;Bulgaria;Syria;Total;Males;Number;;
